dataset,scale,image_name,base_name,hr_path,lr_path,error,width,height,crop_border,psnr_rgb,ssim_rgb,psnr_y,ssim_y,case_type
B100,2,167083.png,167083,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/167083.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X2/167083x2.png,,321,481,2,19.396334554976796,0.6173504507779657,19.999359272639488,0.6219211419286064,lowest_psnr_y
B100,2,175032.png,175032,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/175032.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X2/175032x2.png,,321,481,2,20.73361308840377,0.5953190196649889,21.31838789163563,0.6064161722182322,lowest_psnr_y
B100,2,291000.png,291000,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/291000.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X2/291000x2.png,,481,321,2,20.912582772019384,0.5731639863299925,21.556792077049465,0.5820212951051538,lowest_ssim_y
B100,2,86016.png,86016,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/86016.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X2/86016x2.png,,481,321,2,21.234084982042702,0.4682371043790068,21.851000509558652,0.476082058067855,lowest_ssim_y
B100,3,167083.png,167083,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/167083.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X3/167083x3.png,,321,481,3,18.644762358498806,0.5232599552434666,19.24232774881862,0.5284334929949096,lowest_psnr_y
B100,3,33039.png,33039,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/33039.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X3/33039x3.png,,321,481,3,19.586099357806155,0.6133114656513966,20.177464261098002,0.6224660876838786,lowest_psnr_y
B100,3,291000.png,291000,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/291000.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X3/291000x3.png,,481,321,3,20.126765666248158,0.4563667387434979,20.789609693330068,0.46750904360928125,lowest_ssim_y
B100,3,86016.png,86016,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/86016.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X3/86016x3.png,,481,321,3,20.80574392453782,0.3474419828810795,21.422731921418222,0.35820116114121775,lowest_ssim_y
B100,4,167083.png,167083,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/167083.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/167083x4.png,,321,481,4,17.864010251196703,0.43189956260607193,18.46103907863611,0.4387980321782957,lowest_psnr_y
B100,4,33039.png,33039,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/33039.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/33039x4.png,,321,481,4,18.496840620746354,0.4934857685929596,19.07784209955352,0.5041165403753828,lowest_psnr_y
B100,4,175032.png,175032,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/175032.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/175032x4.png,,321,481,4,19.094698541584453,0.3404486957581216,19.665018975885737,0.35409390386740774,lowest_ssim_y
B100,4,86016.png,86016,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/86016.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/86016x4.png,,481,321,4,20.371742759161986,0.2613811257347664,20.988955501303455,0.2736429953450452,lowest_ssim_y
Manga109,2,ThatsIzumiko_000.png,thatsizumiko_000,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/ThatsIzumiko_000.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X2/ThatsIzumiko_000_LRBI_x2.png,,826,1170,2,20.115471740191854,0.7957725373342699,21.023511823758334,0.8089077572779408,lowest_psnr_y
Manga109,2,KyokugenCyclone.png,kyokugencyclone,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/KyokugenCyclone.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X2/KyokugenCyclone_LRBI_x2.png,,826,1170,2,21.142121324273482,0.8163910326910208,21.884310121531616,0.8282342285571008,lowest_psnr_y
Manga109,2,ThatsIzumiko_000.png,thatsizumiko_000,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/ThatsIzumiko_000.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X2/ThatsIzumiko_000_LRBI_x2.png,,826,1170,2,20.115471740191854,0.7957725373342699,21.023511823758334,0.8089077572779408,lowest_ssim_y
Manga109,2,PrayerHaNemurenai.png,prayerhanemurenai,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/PrayerHaNemurenai.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X2/PrayerHaNemurenai_LRBI_x2.png,,742,1072,2,27.9821543363949,0.8056091349473761,28.67194134746642,0.7993385660558353,lowest_ssim_y
Manga109,3,ThatsIzumiko_000.png,thatsizumiko_000,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/ThatsIzumiko_000.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/ThatsIzumiko_000_LRBI_x3.png,,826,1170,3,17.170811065801097,0.6228485870429306,18.129485784482526,0.6338991982844199,lowest_psnr_y
Manga109,3,KyokugenCyclone.png,kyokugencyclone,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/KyokugenCyclone.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/KyokugenCyclone_LRBI_x3.png,,826,1170,3,17.767462874273615,0.6196488221234908,18.51065489924496,0.6369089625532235,lowest_psnr_y
Manga109,3,ThatsIzumiko_000.png,thatsizumiko_000,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/ThatsIzumiko_000.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/ThatsIzumiko_000_LRBI_x3.png,,826,1170,3,17.170811065801097,0.6228485870429306,18.129485784482526,0.6338991982844199,lowest_ssim_y
Manga109,3,KyokugenCyclone.png,kyokugencyclone,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/KyokugenCyclone.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/KyokugenCyclone_LRBI_x3.png,,826,1170,3,17.767462874273615,0.6196488221234908,18.51065489924496,0.6369089625532235,lowest_ssim_y
Manga109,4,ThatsIzumiko_000.png,thatsizumiko_000,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/ThatsIzumiko_000.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X4/ThatsIzumiko_000_LRBI_x4.png,,826,1170,4,15.241542059079283,0.47200086370586963,16.277447480528593,0.47827986686694296,lowest_psnr_y
Manga109,4,KyokugenCyclone.png,kyokugencyclone,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/KyokugenCyclone.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X4/KyokugenCyclone_LRBI_x4.png,,826,1170,4,15.66426314917081,0.464494436022408,16.38954795173687,0.4834810957033494,lowest_psnr_y
Manga109,4,ThatsIzumiko_000.png,thatsizumiko_000,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/ThatsIzumiko_000.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X4/ThatsIzumiko_000_LRBI_x4.png,,826,1170,4,15.241542059079283,0.47200086370586963,16.277447480528593,0.47827986686694296,lowest_ssim_y
Manga109,4,KyokugenCyclone.png,kyokugencyclone,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/KyokugenCyclone.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X4/KyokugenCyclone_LRBI_x4.png,,826,1170,4,15.66426314917081,0.464494436022408,16.38954795173687,0.4834810957033494,lowest_ssim_y
Set14,2,comic.png,comic,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/comic.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X2/comicx2.png,,250,361,2,23.247114333629106,0.8257259472057082,24.019512946092952,0.8318798071569191,lowest_psnr_y
Set14,2,ppt3.png,ppt3,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/ppt3.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X2/ppt3x2.png,,529,656,2,23.342119379597754,0.9160624728020847,24.121753504794846,0.9252627583623468,lowest_psnr_y
Set14,2,baboon.png,baboon,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/baboon.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X2/baboonx2.png,,500,480,2,22.690441162042134,0.6698496747761208,24.150014540715734,0.7191343369530083,lowest_ssim_y
Set14,2,coastguard.png,coastguard,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/coastguard.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X2/coastguardx2.png,,352,288,2,27.787319185475752,0.7883483441900142,28.412307863370536,0.795948848607973,lowest_ssim_y
Set14,3,ppt3.png,ppt3,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/ppt3.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X3/ppt3x3.png,,529,656,3,20.149408329538865,0.8219944485244791,20.984847041943453,0.8338257021949518,lowest_psnr_y
Set14,3,comic.png,comic,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/comic.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X3/comicx3.png,,250,361,3,20.72471175306722,0.684363668762728,21.50041299708939,0.690500943398144,lowest_psnr_y
Set14,3,baboon.png,baboon,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/baboon.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X3/baboonx3.png,,500,480,3,20.539504812369373,0.4740489701380466,21.907116867292196,0.5184584891550194,lowest_ssim_y
