dataset,scale,image_name,base_name,hr_path,lr_path,error,width,height,crop_border,psnr_rgb,ssim_rgb,psnr_y,ssim_y
Set5,2,baby.png,baby,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/baby.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X2/babyx2.png,,512,512,2,35.58733592226331,0.9497471615632641,36.36834638144851,0.9569333846864617
Set5,2,bird.png,bird,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/bird.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X2/birdx2.png,,288,288,2,34.9585168717573,0.9676426659104761,36.11035814021858,0.9747404173439911
Set5,2,butterfly.png,butterfly,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/butterfly.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X2/butterflyx2.png,,256,256,2,26.089953432522872,0.9020217672153152,26.726041725599107,0.9147877152546625
Set5,2,head.png,head,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/head.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X2/headx2.png,,280,280,2,31.485203158860926,0.8198975784672311,34.17280717739443,0.8681524206287891
Set5,2,woman.png,woman,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/woman.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X2/womanx2.png,,228,344,2,30.808468961117175,0.9486957076556788,31.43907582713693,0.9516683427318114
Set5,3,baby.png,baby,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/baby.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X3/babyx3.png,,512,512,3,27.62557979040028,0.8169104379745167,28.341333692373585,0.8368370516739403
Set5,3,bird.png,bird,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/bird.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X3/birdx3.png,,288,288,3,30.721682276992063,0.9202270715559143,31.87302632877848,0.9308286209455138
Set5,3,butterfly.png,butterfly,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/butterfly.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X3/butterflyx3.png,,256,256,3,21.574791302573058,0.7843209953392932,22.116973730950228,0.805470468287603
Set5,3,head.png,head,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/head.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X3/headx3.png,,280,280,3,28.961173272468905,0.733312478796265,30.956525480956177,0.7875629535653932
Set5,3,woman.png,woman,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/woman.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X3/womanx3.png,,228,344,3,25.642481215659604,0.8549753440055751,26.28930855124201,0.8646107594682498
Set5,4,baby.png,baby,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/baby.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X4/babyx4.png,,512,512,4,30.365527979689695,0.841263184326834,31.074860002928627,0.8601588279954406
Set5,4,bird.png,bird,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/bird.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X4/birdx4.png,,288,288,4,28.21051897859484,0.861402213787937,29.4694039825253,0.875847434873172
