dataset,scale,n,mean_psnr_y,mean_ssim_y,mean_psnr_rgb,mean_ssim_rgb,median_psnr_y,median_ssim_y,min_psnr_y,max_psnr_y
B100,2,100,26.713651582178922,0.795452878998236,26.09039377062602,0.7858423274441213,26.246070890258302,0.8025973469078341,19.999359272639488,35.573855279730516
B100,3,100,26.118832225694728,0.7380704690830568,25.499469420687706,0.7257156141705223,25.60414475406025,0.7467331405116814,19.24232774881862,35.298937979899556
B100,4,100,24.87928282449885,0.6614755071565418,24.258610069390897,0.6466355011727025,24.336886652852115,0.663566793116074,18.46103907863611,33.534058338404485
Manga109,2,109,30.106424117167897,0.9346674434846758,29.269541883549806,0.9240176217900788,30.027470219674413,0.946163699042257,21.023511823758334,38.565599293054795
Manga109,3,109,25.47193803647944,0.8459700538856841,24.58124873476467,0.8287813959648717,25.49659795782056,0.8562161479441918,18.129485784482526,34.5220187269507
Manga109,4,109,22.27876877183435,0.7404371422996808,21.297740606127988,0.7213026224280907,22.248234117857,0.7464984282391454,16.277447480528593,31.23090950378518
Set14,2,14,29.203078414255664,0.8691810353945689,28.106066153124875,0.8493872855538671,28.473499224761106,0.8695923634897659,24.019512946092952,34.24419892426415
Set14,3,14,25.09667073144925,0.7375789916193697,24.199514980999883,0.713030055729804,24.7537879821984,0.7616696697587901,20.984847041943453,32.133289909628886
Set14,4,14,24.991121609743963,0.6948946062382324,24.075787422765625,0.6690165062072888,24.601597596692372,0.6983878778109256,19.91752401159512,30.866818325812968
Set5,2,5,32.96332585035951,0.9332564561291431,31.785895669304317,0.9176009761623931,34.17280717739443,0.9516683427318114,26.726041725599107,36.36834638144851
Set5,3,5,27.915433556860098,0.8450619707881402,26.90514157161878,0.8219492655343128,28.341333692373585,0.8368370516739403,22.116973730950228,31.87302632877848
Set5,4,5,27.719505628430106,0.8146751641820549,26.69242461445059,0.789795129815332,29.4694039825253,0.8363964957161987,21.391308378790498,31.074860002928627
Urban100,2,100,25.54912770938171,0.83177487978957,24.825634013365907,0.8235007741662598,25.297062701814077,0.8418320897147231,18.298187461365444,33.84990531353933
Urban100,3,100,22.75075371014189,0.7108838187411091,22.02598703938685,0.6981826341150503,22.594881497781955,0.7116941655022581,15.673028475802933,30.384408307732436
Urban100,4,100,21.921591045617188,0.644893607568957,21.192706442979315,0.6306008122332815,21.623250953211866,0.6480427817886181,14.498244596132892,30.635871684415537
