method,dataset,scale,image_name,base_name,hr_path,lr_path,pred_path,error,width,height,crop_border,psnr_rgb,ssim_rgb,psnr_y,ssim_y
Bicubic,Set5,4,baby.png,baby,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/baby.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X4/babyx4.png,,,512,512,4,30.365527979689695,0.841263184326834,31.78430636617301,0.8677329619781614
Bicubic,Set5,4,bird.png,bird,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/bird.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X4/birdx4.png,,,288,288,4,28.21051897859484,0.861402213787937,30.17885034576968,0.8813046256222291
Bicubic,Set5,4,butterfly.png,butterfly,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/butterfly.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X4/butterflyx4.png,,,256,256,4,20.864011082107552,0.719552692534671,22.10075474203488,0.7526411578780434
Bicubic,Set5,4,head.png,head,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/head.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X4/headx4.png,,,280,280,4,28.89194783760007,0.7002535547759233,31.613453544089403,0.7714474661548822
Bicubic,Set5,4,woman.png,woman,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/woman.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X4/womanx4.png,,,228,344,4,25.130117194260777,0.8265040036512943,26.467394960305462,0.8423394143813565
Bicubic,Set14,4,baboon.png,baboon,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/baboon.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X4/baboonx4.png,,,500,480,4,20.424829263331574,0.4275360924651857,22.437178398222205,0.4835007203178655
Bicubic,Set14,4,barbara.png,barbara,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/barbara.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X4/barbarax4.png,,,720,576,4,23.620561978595006,0.6661585874322695,25.147824344253795,0.7003648563767203
Bicubic,Set14,4,bridge.png,bridge,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/bridge.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X4/bridgex4.png,,,512,512,4,23.143385168553547,0.5740989098258197,24.46530648043029,0.5956863336267486
Bicubic,Set14,4,coastguard.png,coastguard,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/coastguard.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X4/coastguardx4.png,,,352,288,4,24.147447256946535,0.4952703719720759,25.474263575619705,0.5345083989235913
Bicubic,Set14,4,comic.png,comic,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/comic.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X4/comicx4.png,,,248,360,4,20.205460846641177,0.6046281783612092,21.690635637039325,0.618060071919849
Bicubic,Set14,4,face.png,face,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/face.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X4/facex4.png,,,276,276,4,28.852998199939748,0.6989501230355731,31.576264689057343,0.769956251433298
Bicubic,Set14,4,flowers.png,flowers,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/flowers.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X4/flowersx4.png,,,500,360,4,23.71358422778066,0.717182772687064,25.52309689056409,0.7417196489762603
Bicubic,Set14,4,foreman.png,foreman,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/foreman.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X4/foremanx4.png,,,352,288,4,27.86790154192868,0.8530654761463975,29.32319900587507,0.8710335820151359
Bicubic,Set14,4,lenna.png,lenna,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/lenna.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X4/lennax4.png,,,512,512,4,28.2830485866382,0.7547635552251872,29.837862340040388,0.8252760620748462
Bicubic,Set14,4,man.png,man,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/man.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X4/manx4.png,,,512,512,4,24.373596498424646,0.669328140312985,25.695517810301386,0.6957628784148896
Bicubic,Set14,4,monarch.png,monarch,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/monarch.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X4/monarchx4.png,,,768,512,4,26.157810982839106,0.8739864920767085,27.459393473928507,0.8896062683300483
Bicubic,Set14,4,pepper.png,pepper,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/pepper.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X4/pepperx4.png,,,512,512,4,28.57639313510243,0.7666930532090662,30.584659770924656,0.8458147136869678
Bicubic,Set14,4,ppt3.png,ppt3,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/ppt3.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X4/ppt3x4.png,,,528,656,4,20.322237202001297,0.807916035360713,21.91415195114155,0.8241879259554852
Bicubic,Set14,4,zebra.png,zebra,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/zebra.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X4/zebrax4.png,,,584,388,4,22.731533094405044,0.6863621628820642,24.062501397512715,0.7062305649457602
Bicubic,B100,4,101085.png,101085,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/101085.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/101085x4.png,,,320,480,4,21.783474802499292,0.4973160948516228,23.071880829651768,0.5305135787833775
Bicubic,B100,4,101087.png,101087,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/101087.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/101087x4.png,,,320,480,4,25.76007330058038,0.7606476448591222,27.095375778959383,0.7743588692697905
Bicubic,B100,4,102061.png,102061,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/102061.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/102061x4.png,,,320,480,4,23.73735513390869,0.7461051546650946,25.11223400737926,0.7653987150722996
Bicubic,B100,4,103070.png,103070,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/103070.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/103070x4.png,,,480,320,4,27.849987780838383,0.7949439966422549,29.226243300081887,0.8111645788430323
Bicubic,B100,4,105025.png,105025,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/105025.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/105025x4.png,,,480,320,4,24.0582832619608,0.6582995759245739,25.390188630072284,0.678792654096686
Bicubic,B100,4,106024.png,106024,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/106024.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/106024x4.png,,,480,320,4,29.961502262544556,0.8593387540192167,31.379695200763635,0.8732640193234146
Bicubic,B100,4,108005.png,108005,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/108005.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/108005x4.png,,,480,320,4,23.490931058871265,0.646784690429417,24.74533093995861,0.6777406132065603
Bicubic,B100,4,108070.png,108070,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/108070.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/108070x4.png,,,480,320,4,21.1699751446621,0.5053263382112116,22.450281563726115,0.5412876124683991
Bicubic,B100,4,108082.png,108082,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/108082.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/108082x4.png,,,480,320,4,24.72109213365828,0.7223190796825847,26.05254565616064,0.7462546559076266
Bicubic,B100,4,109053.png,109053,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/109053.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/109053x4.png,,,480,320,4,26.86012060833619,0.748121093547577,28.20059080547917,0.7678218855645389
Bicubic,B100,4,119082.png,119082,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/119082.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/119082x4.png,,,480,320,4,20.829655027635543,0.584361887669619,22.111738416105307,0.610710955714218
Bicubic,B100,4,12084.png,12084,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/12084.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/12084x4.png,,,480,320,4,24.671712826592454,0.6502493257998773,26.21372591284231,0.6646825829790636
Bicubic,B100,4,123074.png,123074,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/123074.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/123074x4.png,,,480,320,4,27.525103673318437,0.7590063699729707,28.88928862764976,0.7764064247089029
Bicubic,B100,4,126007.png,126007,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/126007.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/126007x4.png,,,480,320,4,25.94544907952824,0.7516787801896405,27.405858619539863,0.7778824265870377
Bicubic,B100,4,130026.png,130026,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/130026.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/130026x4.png,,,480,320,4,22.8830958559162,0.6024904242529211,24.157448225902417,0.6328178917973085
