method,dataset,scale,image_name,base_name,hr_path,lr_path,pred_path,error,width,height,crop_border,psnr_rgb,ssim_rgb,psnr_y,ssim_y,lpips,qalign_score,psnr_y_z,ssim_y_z,lpips_z,qalign_score_z,case_type,score
Bicubic,B100,4,45096.png,45096,/root/autodl-tmp/imageSR/B100/HR/45096.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/45096x4.png,,,480,320,4,32.06327375062536,0.900988257870456,33.49564938145833,0.9197675146581072,0.2876138985157013,1.4345703125,1.0968828477359869,0.8087246489262893,0.12553585361193295,-2.2851720724618687,high_psnr_low_qalign,3.382054920197856
Bicubic,B100,4,3096.png,3096,/root/autodl-tmp/imageSR/B100/HR/3096.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/3096x4.png,,,480,320,4,33.468411795983044,0.9530098229575628,34.901891402758174,0.9615619509179671,0.2297370731830597,1.6923828125,1.3928259730688115,1.1387350501361746,-0.1982971119810112,-1.9763118703788665,high_psnr_low_qalign,3.369137843447678
Bicubic,Set14,4,face.png,face,/root/autodl-tmp/imageSR/Set14/HR/face.png,/root/autodl-tmp/imageSR/Set14/LR_bicubic/X4/facex4.png,,,276,276,4,28.852998199939748,0.6989501230355731,31.576264689057343,0.7699562514332982,0.4101878404617309,1.357421875,0.6929490326590642,-0.3741905787175707,0.8113627436783037,-2.3775961480851913,high_psnr_low_qalign,3.070545180744255
Bicubic,Set5,4,head.png,head,/root/autodl-tmp/imageSR/Set5/HR/head.png,/root/autodl-tmp/imageSR/Set5/LR_bicubic/X4/headx4.png,,,280,280,4,28.89194783760007,0.7002535547759233,31.613453544089403,0.7714474661548822,0.405456930398941,1.39453125,0.7007754137649025,-0.36241589259666496,0.7848923105337491,-2.3331389977853654,high_psnr_low_qalign,3.033914411550268
MambaIR,B100,4,3096.png,3096,/root/autodl-tmp/imageSR/B100/HR/3096.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/3096x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/3096x4_MambaIR.png,,480,320,4,39.76166272489509,0.9764221456856024,41.25367729440579,0.983402833888162,0.1092371940612793,3.11328125,2.7295570191810543,1.3111914629217816,-0.8725191859341545,-0.27407098389868323,high_psnr_low_qalign,3.0036280030797373
MambaIRv2,B100,4,3096.png,3096,/root/autodl-tmp/imageSR/B100/HR/3096.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/3096x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIRv2_SRBase_x4/visualization/B100/3096x4_MambaIRv2.png,,480,320,4,39.97551117376911,0.9766567820078446,41.48006202924939,0.983683931094764,0.1069955378770828,3.154296875,2.7771996048401926,1.313411016772274,-0.885061722014804,-0.2249341335672965,high_psnr_low_qalign,3.002133738407489
SwinIR,B100,4,3096.png,3096,/root/autodl-tmp/imageSR/B100/HR/3096.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/3096x4.png,/root/autodl-tmp/实验结果图对比/SwinIR_SR_x4_Test/visualization/B100/3096x4_SwinIR.png,,480,320,4,39.68812087596853,0.9763192244028086,41.19847740406173,0.9835239151417342,0.1075364351272583,3.166015625,2.7179402222008653,1.312147524939748,-0.8820352885572209,-0.21089503347261457,high_psnr_low_qalign,2.92883525567348
Bicubic,Set5,4,bird.png,bird,/root/autodl-tmp/imageSR/Set5/HR/bird.png,/root/autodl-tmp/imageSR/Set5/LR_bicubic/X4/birdx4.png,,,288,288,4,28.21051897859484,0.861402213787937,30.17885034576968,0.8813046256222289,0.2360059916973114,1.2314453125,0.3988636889746231,0.5050202667568321,-0.1632211992670201,-2.528516474103022,high_psnr_low_qalign,2.927380163077645
Bicubic,B100,4,143090.png,143090,/root/autodl-tmp/imageSR/B100/HR/143090.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/143090x4.png,,,480,320,4,29.892407520462136,0.8506508553084796,31.55383122083871,0.867184874951107,0.297543466091156,1.56640625,0.6882279173772579,0.39353019772016185,0.181093864897696,-2.127232196396697,high_psnr_low_qalign,2.8154601137739546
Bicubic,B100,4,14037.png,14037,/root/autodl-tmp/imageSR/B100/HR/14037.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/14037x4.png,,,480,320,4,31.106530777934548,0.8375599494308027,32.48225667025352,0.8613998619737361,0.3370115160942077,1.7548828125,0.8836147177833348,0.34785152312824963,0.4019258750364852,-1.901436669873896,high_psnr_low_qalign,2.785051387657231
