method,dataset,scale,image_name,base_name,hr_path,lr_path,pred_path,error,width,height,crop_border,psnr_rgb,ssim_rgb,psnr_y,ssim_y,lpips,qalign_score
Bicubic,Set5,4,baby.png,baby,/root/autodl-tmp/imageSR/Set5/HR/baby.png,/root/autodl-tmp/imageSR/Set5/LR_bicubic/X4/babyx4.png,,,512,512,4,30.36552797968969,0.841263184326834,31.78430636617301,0.8677329619781614,0.30472004413604736,2.32421875
Bicubic,Set5,4,bird.png,bird,/root/autodl-tmp/imageSR/Set5/HR/bird.png,/root/autodl-tmp/imageSR/Set5/LR_bicubic/X4/birdx4.png,,,288,288,4,28.21051897859484,0.861402213787937,30.17885034576968,0.8813046256222289,0.2360059916973114,1.2314453125
Bicubic,Set5,4,butterfly.png,butterfly,/root/autodl-tmp/imageSR/Set5/HR/butterfly.png,/root/autodl-tmp/imageSR/Set5/LR_bicubic/X4/butterflyx4.png,,,256,256,4,20.864011082107552,0.719552692534671,22.10075474203488,0.7526411578780436,0.3996676504611969,1.4248046875
Bicubic,Set5,4,head.png,head,/root/autodl-tmp/imageSR/Set5/HR/head.png,/root/autodl-tmp/imageSR/Set5/LR_bicubic/X4/headx4.png,,,280,280,4,28.89194783760007,0.7002535547759233,31.613453544089403,0.7714474661548822,0.40545693039894104,1.39453125
Bicubic,Set5,4,woman.png,woman,/root/autodl-tmp/imageSR/Set5/HR/woman.png,/root/autodl-tmp/imageSR/Set5/LR_bicubic/X4/womanx4.png,,,228,344,4,25.130117194260777,0.8265040036512943,26.467394960305462,0.8423394143813566,0.3712206780910492,1.8876953125
Bicubic,Set14,4,baboon.png,baboon,/root/autodl-tmp/imageSR/Set14/HR/baboon.png,/root/autodl-tmp/imageSR/Set14/LR_bicubic/X4/baboonx4.png,,,500,480,4,20.42482926333157,0.4275360924651856,22.437178398222205,0.4835007203178653,0.6285898089408875,1.80859375
Bicubic,Set14,4,barbara.png,barbara,/root/autodl-tmp/imageSR/Set14/HR/barbara.png,/root/autodl-tmp/imageSR/Set14/LR_bicubic/X4/barbarax4.png,,,720,576,4,23.620561978595006,0.6661585874322695,25.147824344253795,0.7003648563767203,0.4623459279537201,2.072265625
Bicubic,Set14,4,bridge.png,bridge,/root/autodl-tmp/imageSR/Set14/HR/bridge.png,/root/autodl-tmp/imageSR/Set14/LR_bicubic/X4/bridgex4.png,,,512,512,4,23.14338516855355,0.5740989098258195,24.46530648043029,0.5956863336267484,0.6115162372589111,1.5263671875
Bicubic,Set14,4,coastguard.png,coastguard,/root/autodl-tmp/imageSR/Set14/HR/coastguard.png,/root/autodl-tmp/imageSR/Set14/LR_bicubic/X4/coastguardx4.png,,,352,288,4,24.14744725694653,0.4952703719720759,25.474263575619705,0.5345083989235913,0.5829961895942688,1.58984375
Bicubic,Set14,4,comic.png,comic,/root/autodl-tmp/imageSR/Set14/HR/comic.png,/root/autodl-tmp/imageSR/Set14/LR_bicubic/X4/comicx4.png,,,248,360,4,20.205460846641174,0.6046281783612091,21.690635637039325,0.618060071919849,0.478776216506958,1.5224609375
